,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
26,Michigan,US,2020-07-07 04:34:13,43.3266,-84.5361,73267,6221,52841.0,14205.0,26,733.6342154493651,1177247.0,,,84000026.0,USA,1.1787962919665315e-06,,2020-07-06,1159363.0,8.490862188980032
27,Minnesota,US,2020-07-07 04:34:13,45.6945,-93.9002,38569,1511,33907.0,3151.0,27,683.8921404800881,,4219.0,,84000027.0,USA,12052.080703138075,10.938836889730094,2020-07-06,679693.0,3.917654074515803
28,Mississippi,US,2020-07-07 04:34:13,32.7416,-89.6787,31257,1114,22167.0,7976.0,28,1050.2498362817184,,3280.0,,84000028.0,USA,10573.66415458366,10.493649422529352,2020-07-06,314688.0,3.5640016636273475
29,Missouri,US,2020-07-07 04:34:13,38.4561,-92.2884,24870,1062,,,29,405.2186029717986,,,,84000029.0,USA,6953.156925018102,,2020-07-06,426745.0,4.270205066344994
30,Montana,US,2020-07-07 04:34:13,46.9219,-110.4544,1249,23,678.0,548.0,30,116.86243541689667,,112.0,,84000030.0,USA,9630.250622673746,8.967173738991193,2020-07-06,102926.0,1.8414731785428344
31,Nebraska,US,2020-07-07 04:34:13,41.1254,-98.2681,20046,283,14641.0,5122.0,31,1036.2860368650254,,1369.0,,84000031.0,USA,9912.076459567992,6.829292626957996,2020-07-06,191740.0,1.4117529681732015
32,Nevada,US,2020-07-07 04:34:13,38.3135,-117.0554,22909,537,742.0,21630.0,32,743.761030285479,,,,84000032.0,USA,10112.507288591876,,2020-07-06,311481.0,2.344056920860797
33,New Hampshire,US,2020-07-07 04:34:13,43.4525,-71.5639,5914,382,4684.0,848.0,33,434.9453670669723,,570.0,,84000033.0,USA,12260.840722771236,9.63814677037538,2020-07-06,166712.0,6.459249239093676
34,New Jersey,US,2020-07-07 04:34:13,40.2989,-74.521,174766,15229,30729.0,128808.0,34,1967.600332800807,,20237.0,,84000034.0,USA,17441.745785667725,11.656519460172454,2020-07-06,1549209.0,8.71393749356282
35,New Mexico,US,2020-07-07 04:34:13,34.8405,-106.2485,13507,515,5860.0,7132.0,35,644.1631625659508,,2006.0,,84000035.0,USA,17886.72323780337,14.851558451173466,2020-07-06,375054.0,3.8128377878137263
36,New York,US,2020-07-07 04:34:13,42.1657,-74.9481,397649,32057,71040.0,294552.0,36,2044.093623784355,,89995.0,,84000036.0,USA,22042.91029287645,22.63176821769953,2020-07-06,4288131.0,8.061632243511237
37,North Carolina,US,2020-07-07 04:34:13,35.6301,-79.8064,74775,1432,55318.0,18025.0,37,712.951955762368,,,,84000037.0,USA,10028.962391986945,,2020-07-06,1051846.0,1.9150785690404544
38,North Dakota,US,2020-07-07 04:34:13,47.5289,-99.784,3899,80,3350.0,419.0,38,505.0770147310849,,245.0,,84000038.0,USA,14904.561571105764,6.365289685632632,2020-07-06,113582.0,2.0784619381657574
39,Northern Mariana Islands,US,2020-07-07 04:34:13,15.0979,145.6739,31,2,19.0,10.0,69,56.21645147250834,,,,580.0,MNP,14902.799941970115,,2020-07-06,8218.0,6.451612903225806
40,Ohio,US,2020-07-07 04:34:13,40.3888,-82.7649,57956,2682,40813.0,14461.0,39,495.8123379900933,981005.0,8249.0,,84000039.0,USA,8.392476751845737e-07,14.233211401753056,2020-07-06,881412.0,4.627648560977293
41,Oklahoma,US,2020-07-07 04:34:13,35.5653,-96.9289,16362,399,12432.0,3531.0,40,413.498102462717,,1689.0,,84000040.0,USA,9228.043369536952,10.322698936560323,2020-07-06,365151.0,2.4385771910524388
42,Oregon,US,2020-07-07 04:34:13,44.572,-122.0709,10395,215,2846.0,7334.0,41,246.459179413036,,1125.0,,84000041.0,USA,6347.50341237493,10.822510822510823,2020-07-06,267721.0,2.068302068302068
43,Pennsylvania,US,2020-07-07 04:34:13,40.5908,-77.2098,94439,6762,70437.0,17240.0,42,737.6900573809273,,,,84000042.0,USA,6509.332260791663,,2020-07-06,1018320.0,7.160177469054099
44,Puerto Rico,US,2020-07-07 04:34:13,18.2208,-66.5901,8585,155,,,72,268.8109756288486,,,,630.0,PRI,8785.469115074895,,2020-07-06,280581.0,1.8054746651135705
45,Rhode Island,US,2020-07-07 04:34:13,41.6809,-71.5118,16991,992,1657.0,14342.0,44,1603.891402458652,,2019.0,,84000044.0,USA,23689.186216974194,11.882761461950444,2020-07-06,250954.0,5.83838502736743
46,South Carolina,US,2020-07-07 04:34:13,33.8569,-80.945,46380,827,16994.0,28559.0,45,900.8074637666804,,2882.0,,84000045.0,USA,8543.04589456707,6.213885295385942,2020-07-06,439857.0,1.783096162138853
47,South Dakota,US,2020-07-07 04:34:13,44.2998,-99.4388,7105,97,6063.0,945.0,46,803.134315029859,,692.0,,84000046.0,USA,9529.434505272651,9.739619985925405,2020-07-06,84303.0,1.3652357494722027
48,Tennessee,US,2020-07-07 04:34:13,35.7478,-86.6923,52039,653,31020.0,20372.0,47,762.0980223962664,,2897.0,,84000047.0,USA,13246.375037449625,5.5669786121947,2020-07-06,904618.0,1.2546834470170043
49,Texas,US,2020-07-07 04:34:13,31.0545,-97.5635,204949,2872,103782.0,97880.0,48,705.3898448541709,,,,84000048.0,USA,7462.194371676446,,2020-07-06,2163729.0,1.404167522270136
50,Utah,US,2020-07-07 04:34:13,40.15,-111.8624,25469,190,14448.0,10831.0,49,794.4271259947884,,1604.0,,84000049.0,USA,11723.235301273442,6.297852291020456,2020-07-06,375842.0,0.7460049471907024
51,Vermont,US,2020-07-07 04:34:13,44.0459,-72.7107,1251,56,1022.0,173.0,50,200.48430340919472,,,,84000050.0,USA,11274.717983810611,,2020-07-06,70353.0,4.476418864908074
52,Virgin Islands,US,2020-07-07 04:34:13,18.3358,-64.8963,112,6,79.0,27.0,78,104.4113808405116,,,,850.0,VIR,3011.149643882612,,2020-07-06,3230.0,5.357142857142857
53,Virginia,US,2020-07-07 04:34:13,37.7693,-78.17,66102,1853,8809.0,55440.0,51,774.4344544250912,,9592.0,,84000051.0,USA,8378.08456638665,14.510907385555656,2020-07-06,715113.0,2.803243472209616
54,Washington,US,2020-07-07 04:34:13,47.4009,-121.4905,37393,1351,,,53,491.0508919823299,,4482.0,,84000053.0,USA,8046.153767360881,12.118426389076651,2020-07-06,612706.0,3.612975690637285
55,West Virginia,US,2020-07-07 04:34:13,38.4912,-80.9545,3442,95,2518.0,829.0,54,192.0601379239538,,,,84000054.0,USA,10544.949716736406,,2020-07-06,188981.0,2.760023242300988
56,Wisconsin,US,2020-07-07 04:34:13,44.2685,-89.6165,32061,796,25242.0,6023.0,55,550.646001311479,784115.0,3602.0,,84000055.0,USA,1.3467134191645624e-06,11.23483359845295,2020-07-06,624143.0,2.482767224977387
57,Wyoming,US,2020-07-07 04:34:13,42.756,-107.3025,1675,20,1172.0,483.0,56,289.4123460715082,,119.0,,84000056.0,USA,6103.922358010847,7.104477611940299,2020-07-06,35327.0,1.1940298507462686
